ÝL NO;ÝL ADI;ADANA;ADIYAMAN;AFYON;AÐRI;AMASYA;ANKARA;ANTALYA;ARTVÝN;AYDIN;BALIKESÝR;BÝLECÝK;BÝNGÖL;BÝTLÝS;BOLU;BURDUR;BURSA;ÇANAKKALE;ÇANKIRI;ÇORUM;DENÝZLÝ;DÝYARBAKIR;EDÝRNE;ELAZIÐ;ERZÝNCAN;ERZURUM;ESKÝÞEHÝR;GAZÝANTEP;GÝRESUN;GÜMÜÞHANE;HAKKARÝ;HATAY;ISPARTA;ÝÇEL;ÝSTANBUL;ÝZMÝR;KARS;KASTAMONU;KAYSERÝ;KIRKLARELÝ;KIRÞEHÝR;KOCAELÝ;KONYA;KÜTAHYA;MALATYA;MANÝSA;KAHRAMANMARAÞ;MARDÝN;MUÐLA;MUÞ;NEVÞEHÝR;NÝÐDE;ORDU;RÝZE;SAKARYA;SAMSUN;SÝÝRT;SÝNOP;SÝVAS;TEKÝRDAÐ;TOKAT;TRABZON;TUNCELÝ;ÞANLIURFA;UÞAK;VAN;YOZGAT;ZONGULDAK;AKSARAY;BAYBURT;KARAMAN;KIRIKKALE;BATMAN;ÞIRNAK;BARTIN;ARDAHAN;IÐDIR;YALOVA;KARABÜK;KÝLÝS;OSMANÝYE;DÜZCE;ÝL ADI;ÝL NO;;;
01;ADANA;;336;573;966;604;490;552;1032;883;901;770;630;732;677;666;839;1100;575;579;760;525;1169;490;671;806;688;212;721;779;909;191;616;69;939;900;1009;687;333;1150;375;828;356;673;392;884;192;537;863;739;287;205;710;920;791;722;708;846;423;1071;492;845;624;349;689;895;473;754;265;801;289;474;621;720;769;1036;1069;893;701;248;87;722;ADANA;01;;;
02;ADIYAMAN;336;;909;646;630;755;888;755;1219;1237;1059;349;412;946;1002;1128;1399;785;694;1096;205;1438;280;545;529;977;150;708;678;669;318;952;405;1208;1236;732;883;437;1419;571;1097;692;1009;182;1220;164;296;1199;462;518;541;724;854;1060;748;388;888;410;1340;518;779;414;110;1025;575;612;1023;593;654;625;684;301;480;1038;759;749;1162;970;209;249;991;ADIYAMAN;02;;;
03;AFYON;573;909;;1312;589;256;292;1236;346;328;212;1098;1290;420;170;277;527;387;497;223;1098;684;958;941;1131;144;785;864;1008;1482;764;169;565;454;327;1331;499;521;665;429;343;223;100;860;311;765;1110;368;1207;440;459;820;1075;306;669;1281;668;695;586;635;1000;1072;922;116;1425;471;489;365;1030;336;331;1194;1293;515;1345;1422;341;447;821;660;375;AFYON;03;;;
04;AÐRI;966;646;1312;;738;1056;1429;397;1642;1571;1360;358;234;1147;1425;1420;1691;986;830;1519;441;1639;496;371;184;1289;754;547;384;432;948;1375;1035;1409;1635;217;991;813;1620;943;1298;1115;1367;592;1619;810;518;1664;245;892;939;591;550;1261;742;331;897;619;1541;677;485;424;617;1424;230;843;1207;967;306;1114;981;369;426;1174;310;143;1363;1105;813;879;1192;AÐRI;04;;;
05;AMASYA;604;630;589;738;;333;825;695;931;833;622;640;832;409;755;682;953;248;92;808;699;901;546;367;557;566;596;323;434;1139;694;720;639;671;912;757;253;348;882;312;560;511;644;466;896;520;794;953;749;363;441;279;534;523;131;886;258;220;803;114;459;498;714;701;967;200;469;422;456;616;258;799;981;436;779;848;625;367;655;625;454;AMASYA;05;;;
06;ANKARA;490;755;256;1056;333;;544;980;598;535;315;895;1087;191;422;384;655;131;241;475;906;683;755;685;875;233;667;608;752;1364;681;421;483;453;579;1075;243;318;664;184;342;258;311;657;563;591;992;620;1004;275;348;564;819;305;413;1093;412;439;585;379;744;816;804;368;1222;215;268;225;774;369;75;1006;1175;283;1089;1166;407;215;726;577;236;ANKARA;06;;;
07;ANTALYA;552;888;292;1429;825;544;;1466;342;505;476;1182;1284;684;122;541;704;668;733;220;1077;912;1042;1058;1248;424;764;1100;1166;1461;743;130;483;718;444;1448;780;618;929;572;607;322;364;944;428;744;1089;311;1291;537;544;1056;1307;570;905;1260;949;810;850;871;1232;1176;901;294;1447;684;753;462;1188;374;567;1173;1272;803;1470;1539;605;735;800;639;639;ANTALYA;07;;;
08;ARTVÝN;1032;755;1236;397;695;980;1466;;1578;1463;1252;406;562;1039;1402;1312;1583;895;739;1455;550;1531;544;408;226;1213;863;372;337;771;1014;1367;1101;1301;1559;210;857;850;1512;953;1190;1152;1291;640;1543;860;645;1600;479;929;976;416;161;1153;567;659;722;656;1433;634;236;461;726;1348;569;841;1073;1004;343;1151;905;603;754;1040;117;344;1255;971;922;945;1084;ARTVÝN;08;;;
09;AYDIN;883;1219;346;1642;931;598;342;1578;;296;520;1408;1600;718;272;445;450;729;839;126;1408;658;1268;1271;1461;478;1095;1206;1350;1792;1074;288;825;684;126;1661;841;831;675;771;573;533;408;1170;155;1075;1420;99;1517;750;769;1162;1417;604;1011;1591;1010;1023;630;977;1342;1402;1232;273;1735;813;787;675;1372;641;673;1504;1603;857;1683;1752;510;789;1131;970;673;AYDIN;09;;;
10;BALIKESÝR;901;1237;328;1571;833;535;505;1463;296;;246;1419;1611;424;397;151;199;657;776;285;1426;407;1279;1200;1390;302;1113;1091;1254;1810;1092;396;893;390;176;1590;672;842;424;708;279;551;228;1181;141;1093;1438;395;1528;768;787;1047;1302;310;896;1609;844;974;379;914;1227;1331;1250;225;1746;750;493;693;1289;664;610;1522;1621;582;1572;1681;216;558;1149;988;379;BALIKESÝR;10;;;
11;BÝLECÝK;770;1059;212;1360;622;315;476;1252;520;246;;1199;1391;213;354;95;366;446;556;397;1210;477;1059;989;1179;82;971;880;1043;1668;961;353;762;247;420;1379;461;622;458;488;136;420;112;961;385;895;1296;542;1308;579;648;836;1091;99;685;1397;633;754;379;694;1016;1120;1108;251;1526;530;282;525;1078;533;390;1310;1479;371;1361;1470;129;347;1018;857;168;BÝLECÝK;11;;;
12;BÝNGÖL;630;349;1098;358;640;895;1182;406;1408;1419;1199;;196;1049;1191;1268;1539;888;732;1285;144;1541;142;273;180;1117;457;546;383;503;612;1141;699;1311;1425;383;893;577;1522;711;1200;881;1195;238;1409;458;239;1430;113;658;705;590;559;1163;719;284;864;468;1443;576;484;142;320;1214;331;692;1109;733;305;880;824;197;379;1076;410;474;1265;1007;516;543;1094;BÝNGÖL;12;;;
13;BÝTLÝS;732;412;1290;234;832;1087;1284;562;1600;1611;1391;196;;1241;1383;1460;1731;1080;924;1477;207;1733;334;465;349;1309;520;712;549;335;714;1333;801;1503;1617;432;1085;769;1714;903;1392;1073;1387;430;1601;576;284;1595;83;850;897;756;715;1355;907;97;1056;660;1635;768;650;334;383;1406;163;884;1301;925;471;1021;1016;135;192;1268;491;337;1457;1199;579;645;1286;BÝTLÝS;13;;;
